站点名称,站点ID,指令时间,复令时间,指令,,,,,,,,
新凤溪水库泵站,9402,2021/11/01  5:10:00,2021/11/01  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/01  23:30:00,2021/11/01  23:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/02  5:15:00,2021/11/02  5:15:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/03  0:00:00,2021/11/03  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/03  5:30:00,2021/11/03  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/03  23:00:00,2021/11/03  23:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/04  5:20:00,2021/11/04  5:20:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/05  1:00:00,2021/11/05  1:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/05  5:30:00,2021/11/05  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/06  0:00:00,2021/11/06  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/06  5:00:00,2021/11/06  5:00:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/07  0:30:00,2021/11/07  0:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/07  5:50:00,2021/11/07  5:50:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/08  0:10:00,2021/11/08  0:10:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/08  5:20:00,2021/11/08  5:20:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/09  0:00:00,2021/11/09  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/09  5:30:00,2021/11/09  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/10  0:40:00,2021/11/10  0:40:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/10  5:20:00,2021/11/10  5:20:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/11  0:30:00,2021/11/11  0:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/11  5:30:00,2021/11/11  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/12  0:30:00,2021/11/12  0:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/12  5:30:00,2021/11/12  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/13  0:20:00,2021/11/13  0:20:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/13  5:40:00,2021/11/13  5:40:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/14  0:00:00,2021/11/14  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/14  5:10:00,2021/11/14  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/15  0:50:00,2021/11/15  0:50:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/15  5:10:00,2021/11/15  5:10:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/16  0:30:00,2021/11/16  0:30:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/16  5:30:00,2021/11/16  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/17  0:00:00,2021/11/17  0:00:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/17  5:30:00,2021/11/17  5:30:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/17  22:50:00,2021/11/17  22:50:00,进水,,,,,,,,
新凤溪水库泵站,9402,2021/11/18  5:00:00,2021/11/18  5:00:00,关水,,,,,,,,
新凤溪水库泵站,9402,2021/11/18  23:30:00,2021/11/18  23:30:00,进水,,,,,,,,
